event_id,product_instance_id,date,event_type,call_count,sms_count,data_count,direction,roaming,calling_msisdn,called_msisdn
1,1,2022-02-06 13:02:07,sms,0,1,0,---------,incoming,+55-06-06081627,+55-51-51836274
2,1,2022-04-25 01:47:42,call,45,0,0,---------,incoming,+55-07-07336715,+55-51-51836274
3,1,2022-02-14 22:59:47,sms,0,1,0,---------,outgoing,+55-51-51836274,+55-81-81755558
4,1,2022-03-04 20:05:59,sms,0,1,0,---------,outgoing,+55-51-51836274,+55-47-47461151
5,1,2022-02-27 05:25:32,call,22,0,0,---------,incoming,+55-12-12404354,+55-51-51836274
6,1,2022-02-01 16:44:07,data,0,0,114,---------,---------,+55-51-51836274,---------
7,1,2022-03-21 06:49:43,sms,0,1,0,---------,outgoing,+55-51-51836274,+55-22-22127023
8,1,2022-04-29 05:26:24,call,47,0,0,---------,incoming,+55-21-21807777,+55-51-51836274
9,1,2022-02-19 19:24:46,sms,0,1,0,---------,outgoing,+55-51-51836274,+55-53-53616750
10,1,2022-04-10 00:45:09,sms,0,1,0,---------,outgoing,+55-51-51836274,+55-68-68773271
11,1,2022-04-24 05:58:25,call,34,0,0,---------,outgoing,+55-51-51836274,+55-40-40315301
12,1,2022-02-15 22:42:33,sms,0,1,0,---------,incoming,+55-74-74284601,+55-51-51836274
13,1,2022-02-17 11:57:26,data,0,0,35,---------,---------,+55-51-51836274,---------
14,1,2022-03-24 19:15:15,data,0,0,183,---------,---------,+55-51-51836274,---------
15,1,2022-02-13 05:51:20,sms,0,1,0,roaming,outgoing,+55-51-51836274,+55-50-50474435
16,2,2022-03-15 05:26:29,sms,0,1,0,---------,outgoing,+55-51-51836274,+55-85-85833206
17,2,2022-03-18 15:15:25,call,45,0,0,---------,incoming,+55-64-64544747,+55-51-51836274
18,2,2022-04-18 03:37:49,sms,0,1,0,---------,outgoing,+55-51-51836274,+55-25-25603350
19,2,2022-04-07 20:54:58,data,0,0,153,---------,---------,+55-51-51836274,---------
20,2,2022-04-06 15:15:47,call,25,0,0,---------,outgoing,+55-51-51836274,+55-28-28554846
21,2,2022-03-10 12:04:45,data,0,0,104,---------,---------,+55-51-51836274,---------
22,2,2022-04-06 06:43:15,sms,0,1,0,---------,outgoing,+55-51-51836274,+55-64-64224454
23,2,2022-04-27 14:18:32,sms,0,1,0,roaming,outgoing,+55-51-51836274,+55-28-28405702
24,2,2022-02-27 09:33:56,call,46,0,0,---------,incoming,+55-58-58331640,+55-51-51836274
25,2,2022-03-16 18:29:53,call,12,0,0,---------,outgoing,+55-51-51836274,+55-03-03378652
26,2,2022-03-10 23:34:25,data,0,0,25,---------,---------,+55-51-51836274,---------
27,2,2022-04-29 11:48:59,sms,0,1,0,---------,incoming,+55-50-50006828,+55-51-51836274
28,2,2022-04-03 17:49:03,data,0,0,23,---------,---------,+55-51-51836274,---------
29,2,2022-02-08 22:39:47,data,0,0,17,---------,---------,+55-51-51836274,---------
30,2,2022-03-10 20:00:40,data,0,0,180,---------,---------,+55-51-51836274,---------
31,2,2022-03-25 12:59:20,data,0,0,78,---------,---------,+55-51-51836274,---------
32,2,2022-04-08 12:24:50,data,0,0,88,roaming,---------,+55-51-51836274,---------
33,2,2022-03-25 08:03:37,call,49,0,0,---------,incoming,+55-58-58652270,+55-51-51836274
34,2,2022-04-14 12:20:28,data,0,0,73,---------,---------,+55-51-51836274,---------
35,3,2022-02-23 20:58:13,data,0,0,66,---------,---------,+55-51-51836274,---------
36,3,2022-02-21 05:53:05,call,11,0,0,roaming,incoming,+55-57-57406727,+55-51-51836274
37,3,2022-04-03 13:18:42,data,0,0,74,---------,---------,+55-51-51836274,---------
38,3,2022-02-11 11:59:34,data,0,0,169,---------,---------,+55-51-51836274,---------
39,3,2022-02-11 03:11:42,data,0,0,46,---------,---------,+55-51-51836274,---------
40,3,2022-02-17 10:28:19,data,0,0,46,---------,---------,+55-51-51836274,---------
41,3,2022-03-15 16:28:13,call,19,0,0,---------,incoming,+55-37-37567114,+55-51-51836274
42,3,2022-04-06 10:50:42,call,5,0,0,---------,incoming,+55-21-21062538,+55-51-51836274
43,3,2022-02-14 20:27:31,call,3,0,0,---------,outgoing,+55-51-51836274,+55-05-05417142
44,3,2022-04-19 05:59:53,sms,0,1,0,roaming,outgoing,+55-51-51836274,+55-40-40872207
45,3,2022-03-14 13:59:17,call,28,0,0,---------,incoming,+55-22-22225861,+55-51-51836274
46,3,2022-03-30 14:57:40,sms,0,1,0,---------,incoming,+55-56-56474528,+55-51-51836274
47,3,2022-02-17 02:54:04,data,0,0,180,---------,---------,+55-51-51836274,---------
48,3,2022-04-30 15:30:14,call,38,0,0,---------,incoming,+55-05-05417142,+55-51-51836274
49,3,2022-02-14 07:36:18,call,45,0,0,---------,outgoing,+55-51-51836274,+55-73-73864713
50,4,2022-04-27 18:36:26,call,46,0,0,---------,incoming,+55-43-43400822,+55-12-12154703
51,4,2022-03-31 09:52:52,call,49,0,0,roaming,incoming,+55-72-72422676,+55-12-12154703
52,4,2022-03-07 10:38:32,sms,0,1,0,---------,outgoing,+55-12-12154703,+55-41-41537351
53,4,2022-02-15 16:14:52,data,0,0,27,---------,---------,+55-12-12154703,---------
54,4,2022-04-14 10:04:13,sms,0,1,0,---------,outgoing,+55-12-12154703,+55-00-00467657
55,4,2022-03-15 10:24:52,call,9,0,0,---------,incoming,+55-22-22833803,+55-12-12154703
56,4,2022-04-17 01:40:00,data,0,0,80,---------,---------,+55-12-12154703,---------
57,4,2022-04-13 17:17:39,sms,0,1,0,---------,incoming,+55-22-22324554,+55-12-12154703
58,4,2022-04-26 19:23:41,sms,0,1,0,---------,incoming,+55-24-24047706,+55-12-12154703
59,4,2022-03-31 17:57:48,data,0,0,83,---------,---------,+55-12-12154703,---------
60,4,2022-03-12 02:52:37,call,33,0,0,---------,outgoing,+55-12-12154703,+55-73-73353031
61,4,2022-02-19 12:19:18,data,0,0,94,---------,---------,+55-12-12154703,---------
62,4,2022-03-24 04:34:54,call,31,0,0,---------,outgoing,+55-12-12154703,+22-98-42446631
63,4,2022-03-26 15:30:53,sms,0,1,0,---------,outgoing,+55-12-12154703,+55-75-75012248
64,4,2022-02-18 22:17:52,sms,0,1,0,---------,outgoing,+55-12-12154703,+55-21-21250146
65,4,2022-03-06 08:42:18,sms,0,1,0,roaming,outgoing,+55-12-12154703,+55-88-88151048
66,4,2022-03-16 22:33:06,sms,0,1,0,---------,incoming,+55-87-87883863,+55-12-12154703
67,4,2022-03-16 01:45:28,call,37,0,0,---------,incoming,+55-36-36075152,+55-12-12154703
68,5,2022-04-23 23:31:12,data,0,0,185,---------,---------,+55-20-20485173,---------
69,5,2022-03-26 11:30:28,call,33,0,0,roaming,incoming,+55-46-46251218,+55-20-20485173
70,5,2022-03-20 18:32:09,sms,0,1,0,---------,outgoing,+55-20-20485173,+55-41-41403287
71,5,2022-04-04 11:55:27,data,0,0,184,---------,---------,+55-20-20485173,---------
72,5,2022-03-08 04:45:24,call,26,0,0,---------,incoming,+55-15-15834742,+55-20-20485173
73,5,2022-04-14 13:32:30,sms,0,1,0,---------,incoming,+55-58-58062806,+55-20-20485173
74,5,2022-02-27 04:00:51,data,0,0,67,---------,---------,+55-20-20485173,---------
75,5,2022-04-23 11:49:46,data,0,0,195,---------,---------,+55-20-20485173,---------
76,5,2022-02-16 09:27:53,sms,0,1,0,---------,incoming,+746-48-60394169,+55-20-20485173
77,5,2022-04-04 17:28:03,call,19,0,0,---------,incoming,+55-76-76588250,+55-20-20485173
78,5,2022-04-01 09:38:56,call,37,0,0,---------,outgoing,+55-20-20485173,+55-58-58331640
79,5,2022-04-19 02:46:29,data,0,0,82,---------,---------,+55-20-20485173,---------
80,5,2022-02-17 17:54:43,call,10,0,0,---------,incoming,+357-40-45497891,+55-20-20485173
81,5,2022-04-26 00:15:09,sms,0,1,0,---------,incoming,+55-63-63202887,+55-20-20485173
82,5,2022-03-17 09:10:31,call,39,0,0,---------,outgoing,+55-20-20485173,+55-51-51336327
83,5,2022-03-12 00:23:35,sms,0,1,0,---------,outgoing,+55-20-20485173,+55-06-06618536
84,5,2022-04-23 10:00:42,call,43,0,0,---------,incoming,+55-21-21684530,+55-20-20485173
85,5,2022-03-11 19:18:25,sms,0,1,0,---------,outgoing,+55-20-20485173,+55-58-58831111
86,6,2022-02-02 19:29:00,call,24,0,0,roaming,incoming,+55-34-34043475,+55-20-20485173
87,6,2022-03-15 09:50:32,call,40,0,0,---------,outgoing,+55-20-20485173,+55-68-68337653
88,6,2022-04-11 20:15:44,call,12,0,0,---------,incoming,+55-46-46625785,+55-20-20485173
89,6,2022-02-02 16:30:40,sms,0,1,0,---------,outgoing,+55-20-20485173,+55-80-80328788
90,6,2022-02-07 10:34:21,sms,0,1,0,---------,incoming,+55-27-27646306,+55-20-20485173
91,6,2022-02-15 17:59:58,data,0,0,79,---------,---------,+55-20-20485173,---------
92,6,2022-02-16 15:01:45,data,0,0,158,---------,---------,+55-20-20485173,---------
93,6,2022-02-08 19:23:17,sms,0,1,0,---------,incoming,+55-32-32052344,+55-20-20485173
94,6,2022-04-24 04:42:12,call,5,0,0,---------,incoming,+55-05-05663205,+55-20-20485173
95,6,2022-02-27 18:02:17,data,0,0,139,---------,---------,+55-20-20485173,---------
96,6,2022-04-21 21:28:11,call,40,0,0,---------,incoming,+55-80-80878865,+55-20-20485173
97,6,2022-04-20 13:32:20,data,0,0,108,---------,---------,+55-20-20485173,---------
98,6,2022-04-16 06:38:14,sms,0,1,0,---------,outgoing,+55-20-20485173,+55-65-65307301
99,6,2022-02-22 07:48:05,call,33,0,0,---------,outgoing,+55-20-20485173,+55-21-21675066
100,6,2022-03-31 04:01:46,data,0,0,66,---------,---------,+55-20-20485173,---------
101,7,2022-04-12 12:14:27,data,0,0,25,---------,---------,+55-20-20485173,---------
102,7,2022-02-10 08:52:37,data,0,0,40,---------,---------,+55-20-20485173,---------
103,7,2022-03-16 07:47:31,data,0,0,4,---------,---------,+55-20-20485173,---------
104,7,2022-03-29 15:23:23,call,3,0,0,---------,incoming,+55-67-67265522,+55-20-20485173
105,7,2022-03-22 20:03:52,sms,0,1,0,---------,outgoing,+55-20-20485173,+55-27-27747467
106,7,2022-03-31 22:33:23,data,0,0,46,---------,---------,+55-20-20485173,---------
107,7,2022-03-11 11:23:05,sms,0,1,0,---------,outgoing,+55-20-20485173,+55-41-41765104
108,7,2022-02-20 02:05:45,sms,0,1,0,---------,outgoing,+55-20-20485173,+55-00-00081211
109,7,2022-04-19 15:26:56,sms,0,1,0,roaming,incoming,+55-32-32445142,+55-20-20485173
110,7,2022-02-23 18:50:29,data,0,0,138,---------,---------,+55-20-20485173,---------
111,7,2022-02-04 02:15:04,sms,0,1,0,---------,incoming,+55-25-25185271,+55-20-20485173
112,7,2022-04-21 14:25:45,data,0,0,76,---------,---------,+55-20-20485173,---------
113,7,2022-04-06 19:20:57,data,0,0,82,---------,---------,+55-20-20485173,---------
114,7,2022-03-29 14:22:37,sms,0,1,0,---------,outgoing,+55-20-20485173,+55-64-64753125
115,7,2022-04-02 23:34:31,call,24,0,0,---------,incoming,+55-22-22524683,+55-20-20485173
116,7,2022-02-17 18:06:11,data,0,0,120,---------,---------,+55-20-20485173,---------
117,7,2022-02-04 02:10:05,data,0,0,41,roaming,---------,+55-20-20485173,---------
118,8,2022-04-16 08:19:17,data,0,0,182,---------,---------,+55-47-47461151,---------
119,8,2022-04-06 03:33:22,call,47,0,0,---------,outgoing,+55-47-47461151,+614-33-99240525
120,8,2022-02-22 14:14:27,sms,0,1,0,---------,outgoing,+55-47-47461151,+55-12-12206078
121,8,2022-02-15 12:02:41,sms,0,1,0,---------,incoming,+55-40-40373746,+55-47-47461151
122,8,2022-02-06 08:46:38,data,0,0,108,---------,---------,+55-47-47461151,---------
123,8,2022-03-19 02:07:37,call,35,0,0,---------,outgoing,+55-47-47461151,+55-24-24822306
124,8,2022-04-03 12:52:29,data,0,0,158,---------,---------,+55-47-47461151,---------
125,8,2022-02-07 15:54:09,sms,0,1,0,---------,outgoing,+55-47-47461151,+492-75-83142839
126,8,2022-03-30 17:20:11,sms,0,1,0,---------,incoming,+55-21-21016774,+55-47-47461151
127,8,2022-02-19 23:01:00,data,0,0,175,---------,---------,+55-47-47461151,---------
128,8,2022-03-09 03:38:06,sms,0,1,0,roaming,outgoing,+55-47-47461151,+55-71-71788316
129,8,2022-03-08 14:37:11,sms,0,1,0,---------,outgoing,+55-47-47461151,+55-28-28274456
130,8,2022-04-20 12:02:46,sms,0,1,0,---------,incoming,+773-90-16104255,+55-47-47461151
131,8,2022-03-02 21:43:01,sms,0,1,0,---------,outgoing,+55-47-47461151,+55-33-33688503
132,8,2022-02-13 00:43:03,data,0,0,128,roaming,---------,+55-47-47461151,---------
133,8,2022-04-30 18:13:13,sms,0,1,0,---------,incoming,+55-84-84120654,+55-47-47461151
134,8,2022-03-24 10:36:36,data,0,0,8,---------,---------,+55-47-47461151,---------
135,8,2022-04-05 09:05:22,data,0,0,82,---------,---------,+55-47-47461151,---------
136,8,2022-04-07 02:04:59,data,0,0,33,---------,---------,+55-47-47461151,---------
137,9,2022-04-17 08:39:12,call,43,0,0,roaming,outgoing,+55-47-47461151,+55-62-62013530
138,9,2022-03-16 01:08:36,sms,0,1,0,---------,outgoing,+55-47-47461151,+55-27-27466556
139,9,2022-03-08 20:38:30,call,47,0,0,---------,incoming,+533-31-55283786,+55-47-47461151
140,9,2022-02-10 12:34:29,call,19,0,0,---------,incoming,+55-62-62818273,+55-47-47461151
141,9,2022-03-20 08:32:32,call,35,0,0,---------,incoming,+55-15-15354140,+55-47-47461151
142,9,2022-02-07 05:41:40,call,32,0,0,---------,incoming,+55-46-46080476,+55-47-47461151
143,9,2022-03-16 11:06:50,sms,0,1,0,---------,outgoing,+55-47-47461151,+55-03-03273817
144,9,2022-03-09 12:26:55,data,0,0,197,---------,---------,+55-47-47461151,---------
