customer_id,first_name,last_name,date_of_birth,gender,agree_for_promo,autopay_card,email,msisdn,status,customer_category,customer_since,region,language,termination_date
1,Marcos,Melo,2000-02-28,male,Yes,2258636283165011,marc.melo0@gmail.com,+55-51-51836274,active,phyzical,2021-09-01,"[-23.4628,-46.5333]",portuguese,----------
2,Marcos,Pereira,1972-05-02,male,Yes,2420580046082283,marc.perei72@gmail.com,+55-12-12154703,active,phyzical,2022-02-23,"[-12.9711,-38.5108]",portuguese,----------
3,Fernanda,Martins,1952-07-22,female,No,7286858617476521,fern.marti52@gmail.com,+55-20-20485173,active,phyzical,2020-07-26,"[-19.9208,-43.9378]",portuguese,----------
4,Jose,Cardoso,1996-10-11,male,Yes,8844751076615821,jose.cardo96@gmail.com,+55-47-47461151,active,phyzical,2022-02-10,"[-16.6786,-49.2539]",portuguese,----------
5,Marcos,Santos,1976-08-27,male,No,6281688628742264,marc.santo76@gmail.com,+55-63-63312101,active,phyzical,2020-11-19,"[-23.5475,-46.6361]",portuguese,----------
6,Antonio,Santos,1987-12-03,male,No,0863013278444322,anto.santo87@gmail.com,+55-73-73151001,active,phyzical,2020-01-20,"[-30.0328,-51.2302]",portuguese,----------
7,Juliana,Carvalho,2003-11-19,female,Yes,----------,juli.carva3@gmail.com,+55-85-85723056,active,business,2020-03-16,"[-8.05389,-34.8811]",portuguese,----------
8,Francisco,Martins,1952-10-12,male,No,----------,fran.marti52@gmail.com,+55-76-76652104,active,phyzical,2020-05-14,"[-23.5475,-46.6361]",english,----------
9,Pedro,Cardoso,2003-03-03,male,Yes,5008310377067300,pedr.cardo3@gmail.com,+55-54-54736764,active,phyzical,2020-08-21,"[-1.45583,-48.5044]",english,----------
10,Fernanda,Araujo,1933-06-16,female,Yes,4008586713687320,fern.arauj33@gmail.com,+55-17-17454004,active,phyzical,2020-04-30,"[-22.82694,-43.05389]",portuguese,----------
11,Aline,Sousa,1978-10-20,female,Yes,6770846125241464,alin.sousa78@gmail.com,+55-56-56083340,inactive,phyzical,2021-08-05,"[-23.5475,-46.6361]",english,2021-10-08
12,Patricia,Pereira,1991-02-01,female,Yes,3415883480447158,patr.perei91@gmail.com,+55-03-03232325,active,phyzical,2021-06-22,"[-19.9208,-43.9378]",portuguese,----------
13,Francisco,Cardoso,1972-11-13,male,Yes,----------,fran.cardo72@gmail.com,+55-60-60628831,active,phyzical,2020-04-20,"[-5.08917,-42.8019]",portuguese,----------
14,Fernanda,Cardoso,1986-01-04,female,Yes,8281551438708743,fern.cardo86@gmail.com,+55-53-53736114,active,phyzical,2020-06-28,"[-16.6786,-49.2539]",portuguese,----------
15,Lucas,Carvalho,1975-11-10,male,No,7065535733062267,luca.carva75@gmail.com,+55-18-18442838,active,phyzical,2022-01-19,"[-19.9208,-43.9378]",portuguese,----------
16,Ana,Barbosa,1963-07-20,female,Yes,----------,ana.barbo63@gmail.com,+55-34-34757124,inactive,phyzical,2021-11-12,"[-16.6786,-49.2539]",portuguese,2022-01-27
17,Marcos,Almeida,1991-04-09,male,No,6078883374458017,marc.almei91@gmail.com,+55-15-15472104,active,phyzical,2020-02-11,"[-12.9711,-38.5108]",portuguese,----------
18,Jose,Lima,1976-10-15,male,Yes,----------,jose.lima76@gmail.com,+55-08-08457577,active,phyzical,2021-10-14,"[-22.9064,-43.1822]",portuguese,----------
19,Marcia,Martins,1987-07-18,female,Yes,5857255601778514,marc.marti87@gmail.com,+55-62-62810064,active,phyzical,2021-02-17,"[-8.05389,-34.8811]",portuguese,----------
20,Marcos,Santos,1976-10-27,male,Yes,0812018151206333,marc.santo76@gmail.com,+55-33-33217020,active,phyzical,2020-03-11,"[-22.82694,-43.05389]",english,----------
21,Francisco,Silva,1976-03-16,male,Yes,1027756375318850,fran.silva76@gmail.com,+55-55-55176441,active,phyzical,2021-01-04,"[-23.4628,-46.5333]",portuguese,----------
22,Antonio,Costa,1968-09-16,male,No,0412730853823362,anto.costa68@gmail.com,+55-42-42635055,active,phyzical,2021-10-28,"[-15.77972,-47.92972]",portuguese,----------
23,Franciska,Araujo,1997-06-07,female,Yes,3660422505227681,fran.arauj97@gmail.com,+55-12-12511455,active,phyzical,2020-05-05,"[-22.82694,-43.05389]",portuguese,----------
24,Aline,Oliveira,1966-04-04,female,Yes,2742453084430727,alin.olive66@gmail.com,+55-26-26387281,active,phyzical,2020-09-29,"[-23.5475,-46.6361]",portuguese,----------
25,Marcia,Almeida,1991-01-12,female,Yes,----------,marc.almei91@gmail.com,+55-56-56431614,inactive,phyzical,2020-08-23,"[-18.9186,-48.2772]",portuguese,2020-10-19
26,Ana,Ribeiro,1978-07-08,female,No,2121515130730880,ana.ribei78@gmail.com,+55-80-80432004,inactive,phyzical,2020-01-17,"[-26.3044,-48.8456]",portuguese,2021-04-04
27,Franciska,Almeida,1987-08-27,female,Yes,----------,fran.almei87@gmail.com,+55-07-07771532,active,phyzical,2022-04-25,"[-19.9208,-43.9378]",portuguese,----------
28,Jose,Barbosa,1966-12-07,male,No,----------,jose.barbo66@gmail.com,+55-36-36075654,active,phyzical,2020-04-23,"[-5.795,-35.2094]",portuguese,----------
29,Aline,Carvalho,1994-08-09,female,Yes,1070358028702264,alin.carva94@gmail.com,+55-87-87883863,active,phyzical,2021-04-04,"[-23.5475,-46.6361]",portuguese,----------
30,Marcia,Lima,1974-10-13,female,Yes,6072442368764862,marc.lima74@gmail.com,+55-72-72526785,inactive,phyzical,2020-07-30,"[-22.9064,-43.1822]",portuguese,2022-02-26
